AREA,DISTRIBUTOR,DISTRIBUTOR_NAME,YEAR,DIST_TOWN_DESC,MAP_CATEGORY,MAP_BRAND,MAP_SUB_CATEGORY,MAP_CHANNEL,AREATYPE,POPTYPE_DESC,CHANNEL_DESC,GSV (Gross Sales Value)
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,GUDDI BAJI,Rural,GUDDI BAJI,RTM,11512.346
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,34496.7456
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,16480.7399
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,15078.4708
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,75541.41739
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,21513.6117
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,143201.1219
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,13232.9515
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,342795.4368
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Mohalla,Urban,Retailer,Mom & Pop,81634.0893
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Mohalla,Urban,Retailer,Mom & Pop,62687.2744
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Mohalla,Urban,Retailer,Mom & Pop,19406.17871
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Mohalla,Urban,Retailer,Mom & Pop,256309.8103
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Rehbar,Rural,DCR-2,RTM,176741.1079
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Wholesale,Rural,Whole Seller,RTM,2739449.444
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Wholesale,Rural,Whole Seller,RTM,652621.1663
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Wholesale,Rural,Whole Seller,RTM,486369.4723
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON,BEVERAGES,Wholesale,Urban,Whole Seller,RTM,1088615.288
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON T/B,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,769.383
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON T/B,BEVERAGES,Mohalla,Urban,Retailer,Mom & Pop,104
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON T/B,BEVERAGES,Mohalla,Urban,Retailer,Mom & Pop,624
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON T/B,BEVERAGES,Mohalla,Urban,Retailer,Mom & Pop,1010.053
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,LIPTON T/B,BEVERAGES,Wholesale,Urban,Whole Seller,RTM,39747.00853
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,GUDDI BAJI,Rural,GUDDI BAJI,RTM,5119.3517
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,57691.54606
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,20877.3942
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,21888.2096
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,41168.88014
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,20412.8339
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,164513.6244
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,13361.9846
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Mohalla,Rural,Retailer,Mom & Pop,339631.6733
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Mohalla,Urban,Retailer,Mom & Pop,80630.3063
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Mohalla,Urban,Retailer,Mom & Pop,56600.3424
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Mohalla,Urban,Retailer,Mom & Pop,18886.62043
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Mohalla,Urban,Retailer,Mom & Pop,304649.3143
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Rehbar,Rural,DCR-2,RTM,480712.4368
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Wholesale,Rural,Whole Seller,RTM,4109639.645
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Wholesale,Rural,Whole Seller,RTM,2310722.148
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Wholesale,Rural,Whole Seller,RTM,1061156.038
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,BEVERAGES,SUPREME,BEVERAGES,Wholesale,Urban,Whole Seller,RTM,2424272.931
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,FOODS,CORN FLOUR,RAFHAN,Mohalla,Urban,Retailer,Mom & Pop,64.5161
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,FOODS,CORN FLOUR,RAFHAN,Wholesale,Rural,Whole Seller,RTM,23824.88475
JHANG,50251173,ASIM TRADERS,2019,DIJKOT,FOODS,CORN FLOUR,RAFHAN,Wholesale,Urban,Whole Seller,RTM,44129.02766
